Median Vacant Land  Price - 2022,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change,change,Growth PA,
ST ALBANS,260000,267500,295000,311500,452500,490000,555000,580000,442500,639500,612000,653500,-4,135,8.9,
ST LEONARDS,199500,190000,166500,181500,179000,165000,205000,225000,230500,320000,445000,395000,39,123,8.4,
STAWELL,35000,35000,35000,56000,60000,52000,73500,90000,90000,62500,123000,180000,97,251,13.4,
STRATFORD,81000,78000,83500,81000,81000,85000,83000,84500,93000,123000,172500,225000,40,113,7.9,
STRATHDALE,181000,165000,212500,234000,239000,267500,242000,240000,215000,276500,392500,NA,42,117,8.1,
STRATHFIELDSAYE,146500,162000,172000,173500,173500,166500,168500,166000,181000,194000,350000,298500,80,139,9.1,
STRATHTULLOH,176000,153000,152500,161000,150000,230000,267000,267000,274000,283500,332000,317500,17,89,6.6,
SUNBURY,200500,210000,211000,215000,218000,235000,332000,299000,296000,313000,342000,315000,9,71,5.5,
SUNSHINE NORTH,253000,247500,320000,280000,387500,385000,335500,662500,668000,580000,590000,546500,2,133,8.8,
SWAN HILL,80000,79000,85000,88000,102500,109000,138000,113000,126000,166000,175000,145000,5,119,8.1,
TANGAMBALANGA,-,-,-,-,131000,123000,134000,135500,138000,185000,212000,235000,15,0,NA,
TANKERTON,-,360000,360000,360000,360000,360000,360000,1000,1000,35000,25000,31000,-29,0,NA,
TARNEIT,195000,186500,191000,210000,225000,275000,305000,305000,303000,330000,337500,361000,2,73,5.6,
TATURA,88000,98000,96500,95000,105000,112500,125000,152500,166000,185000,75000,187500,-59,-15,-1.6,
TAYLORS LAKES,362500,370500,409500,415000,379000,622500,710000,413000,432000,362000,490000,NA,35,35,3.1,
THE HONEYSUCKLES,65000,77000,70000,79000,77000,77000,69000,80000,96000,150000,200000,306000,33,208,11.9,
THOMASTOWN,307000,266000,269500,185000,297000,500000,536000,450000,520000,185000,366000,369500,98,19,1.8,
THORNHILL PARK,-,-,-,193000,199000,243000,275500,268000,242500,260000,277500,325000,7,0,NA,
TIMBOON,111500,-,-,-,87500,87500,80500,83500,120000,180000,240000,230000,33,115,8.0,
TORQUAY,252000,240000,245000,250000,268000,295000,360000,420000,430000,499000,665000,1196500,33,164,10.2,
TRAFALGAR,130000,136000,140000,140000,147500,147000,195000,215000,220000,195000,210000,NA,8,62,4.9,
TRARALGON,157000,145000,148500,152500,150000,143000,138000,150000,171000,200000,309000,312000,55,97,7.0,
TRENTHAM,139000,140000,155500,167500,185000,210000,337500,348500,385000,485000,567500,600000,17,308,15.1,
TRUGANINA,209000,206000,212000,228500,254500,282000,327500,335000,322000,327000,345000,391500,6,65,5.1,
TYABB,283500,298500,306500,355000,291500,291500,305000,540000,422500,465000,465000,NA,0,64,5.7,
TYERS,-,-,95000,95000,95000,100000,100000,100000,235000,325000,375000,NA,15,0,NA,
VENUS BAY,93000,92500,83000,83500,90000,81000,94000,105500,120000,271500,312500,310000,15,236,12.9,
WAHGUNYAH,69000,77000,65000,90000,78500,91500,110000,90500,145000,162500,185000,NA,14,168,10.4,
WALDARA,-,-,160000,237000,237000,235500,240000,211500,242000,266500,372000,NA,40,0,NA,
WALLAN,149000,155000,150000,150500,155000,192000,250000,240000,245000,285000,326000,340000,14,119,8.1,
WALLAN EAST,158500,140500,136000,148000,154000,160000,254000,250000,250000,250000,300000,340000,20,89,6.6,
WANDANA HEIGHTS,230000,230000,194500,221500,262500,310000,265000,315000,349000,432500,616000,NA,42,168,10.4,
WANGARATTA,111000,125500,125000,131000,132000,151000,162000,145000,150000,178500,277000,275000,55,150,9.6,
WARBURTON,137500,105000,105000,86000,85500,130000,146000,192000,165000,266000,360000,NA,35,162,10.1,
WARRAGUL,145000,148000,146000,143000,149000,170500,200000,213000,230000,293000,345000,340000,18,138,9.1,
WARRNAMBOOL,142500,152000,145000,140000,150000,150000,150000,155000,165000,182500,250000,250000,37,75,5.8,
WEIR VIEWS,155000,150000,142500,138000,139000,195000,215000,209000,240000,260000,324000,280000,25,109,7.7,
WELSHPOOL,65000,87000,65000,65000,65000,49000,94000,75000,100000,120000,137000,NA,14,111,7.7,
WERRIBEE,196500,162000,185500,191500,208000,252000,298000,299000,299000,327000,327000,259000,0,66,5.2,
WERRIBEE SOUTH,829000,701000,450000,345000,389000,388500,402000,372000,355000,510000,610000,495000,20,-26,-3.0,
WEST WODONGA,115000,120500,113000,133000,130000,129000,136000,140000,140500,200000,245000,192500,23,113,7.9,
WHITE HILLS,128000,90000,110500,135000,145000,157500,160500,155500,175000,237000,330000,NA,39,158,9.9,
WHITTLESEA,174000,185000,205000,200000,179000,237500,450000,335000,285000,340000,425000,400000,25,144,9.3,
WILLIAMS LANDING,299000,299000,324000,346000,380000,365000,335000,347500,358000,258000,482500,NA,87,61,4.9,
WINCHELSEA,135000,135000,130000,127500,158000,168000,178000,170000,271500,250000,360000,430000,44,167,10.3,
WINTER VALLEY,129000,125000,125000,122000,124000,130000,143000,159000,185000,233500,300000,307500,28,133,8.8,
WODONGA,110000,117000,111000,124000,135000,141000,146000,153000,155000,200000,230000,300000,15,109,7.7,
WOLLERT,207000,195000,197000,216500,233000,266000,329000,320000,315000,341500,380000,395000,11,84,6.3,
WONTHAGGI,107000,120500,140000,132000,135000,140000,145000,165000,195000,205000,330000,245000,61,208,11.9,
WOODEND,216000,203500,233000,230500,235000,280000,375500,450000,370000,420000,600000,770000,43,178,10.8,
WYE RIVER,215000,360000,360000,218000,212500,218000,299500,555000,365000,507500,750000,NA,48,249,13.3,
WYNDHAM VALE,171000,169000,165000,174000,197000,224000,290000,269000,275000,277000,276000,321000,0,61,4.9,
YARRAGON,120000,130000,132500,130000,125000,150000,160000,205000,198000,220000,320000,NA,45,167,10.3,
YARRAVILLE,396500,210000,350000,500000,400000,665000,450000,510500,496500,569000,1234000,NA,117,211,12.0,
YARRAWONGA,92500,96000,104500,110000,118500,130000,159000,155000,166500,179000,270000,255000,51,192,11.3,
YEA,97500,130000,86500,120000,159000,149000,158500,227500,190000,238000,268500,270000,13,175,10.7,
YINNAR,85000,107500,83500,80500,94000,88000,97500,88500,105000,125000,205000,297500,64,141,9.2,
